UID          PID    PPID  C STIME TTY          TIME CMD
root        1005       1  0 11:11 ?        00:00:00 /usr/sbin/ModemManager
root        1033       1  0 11:11 ?        00:00:00 /usr/sbin/gdm3
root        1060    1033  0 11:11 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
lp          1091     930  0 11:11 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
postgres    1153       1  0 11:11 ?        00:00:00 /usr/lib/postgresql/12/bin/postgres -D /var/lib/postgresql/12/main -c config_file=/etc/postgresql/12/main/postgresql.conf
colord      1154       1  0 11:11 ?        00:00:00 /usr/libexec/colord
whoopsie    1177       1  0 11:11 ?        00:00:00 /usr/bin/whoopsie -f
kernoops    1182       1  0 11:11 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    1185       1  0 11:11 ?        00:00:00 /usr/sbin/kerneloops
ifce-mp+    1191       1  0 11:11 ?        00:00:00 /lib/systemd/systemd --user
ifce-mp+    1192    1191  0 11:11 ?        00:00:00 (sd-pam)
root        1193       2  0 11:11 ?        00:00:00 [iprt-VBoxWQueue]
root        1195       2  0 11:11 ?        00:00:00 [iprt-VBoxTscThr]
ifce-mp+    1217    1191  0 11:11 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
ifce-mp+    1219    1191  0 11:11 ?        00:00:00 /usr/libexec/tracker-miner-fs
postgres    1221    1153  0 11:11 ?        00:00:00 postgres: 12/main: checkpointer   
postgres    1222    1153  0 11:11 ?        00:00:00 postgres: 12/main: background writer   
postgres    1223    1153  0 11:11 ?        00:00:00 postgres: 12/main: walwriter   
postgres    1224    1153  0 11:11 ?        00:00:00 postgres: 12/main: autovacuum launcher   
postgres    1225    1153  0 11:11 ?        00:00:00 postgres: 12/main: stats collector   
postgres    1226    1153  0 11:11 ?        00:00:00 postgres: 12/main: logical replication launcher   
ifce-mp+    1245       1  0 11:11 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
ifce-mp+    1249    1060  0 11:11 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
ifce-mp+    1263    1249  0 11:11 tty2     00:00:26 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
rtkit       1267       1  0 11:11 ?        00:00:00 /usr/libexec/rtkit-daemon
ifce-mp+    1275    1191  0 11:11 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
ifce-mp+    1291    1191  0 11:12 ?        00:00:00 /usr/libexec/gvfsd
ifce-mp+    1302    1191  0 11:12 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
ifce-mp+    1307    1191  0 11:12 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
ifce-mp+    1318    1191  0 11:12 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
root        1338     974  0 11:12 ?        00:00:02 containerd --config /run/snap.docker/containerd/containerd.toml --log-level error
ifce-mp+    1339    1191  0 11:12 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
ifce-mp+    1343    1191  0 11:12 ?        00:00:00 /usr/libexec/goa-daemon
root        1355       2  0 11:12 ?        00:00:00 [krfcommd]
ifce-mp+    1388    1191  0 11:12 ?        00:00:00 /usr/libexec/goa-identity-service
ifce-mp+    1393    1191  0 11:12 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
ifce-mp+    1398    1191  0 11:12 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
root        1402       1  0 11:12 ?        00:00:00 /usr/lib/upower/upowerd
ifce-mp+    1444    1249  0 11:12 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
ifce-mp+    1511    1444  0 11:12 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
root        1534       2  0 11:12 ?        00:00:00 bpfilter_umh
ifce-mp+    1557    1191  0 11:12 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
ifce-mp+    1580    1557  0 11:12 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
ifce-mp+    1674    1191  0 11:12 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
ifce-mp+    1681    1191  0 11:12 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
ifce-mp+    1721    1191  0 11:12 ?        00:00:33 /usr/bin/gnome-shell
root        1862       1  0 11:12 ?        00:00:01 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
ifce-mp+    2054    1721  0 11:12 ?        00:00:00 ibus-daemon --panel disable --xim
ifce-mp+    2058    2054  0 11:12 ?        00:00:00 /usr/libexec/ibus-dconf
ifce-mp+    2059    2054  0 11:12 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
ifce-mp+    2063    1191  0 11:12 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
ifce-mp+    2069    1191  0 11:12 ?        00:00:00 /usr/libexec/ibus-portal
ifce-mp+    2073    1191  0 11:12 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
ifce-mp+    2081    1191  0 11:12 ?        00:00:00 /usr/libexec/xdg-permission-store
ifce-mp+    2083    1191  0 11:12 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
ifce-mp+    2096    1191  0 11:12 ?        00:00:00 /usr/libexec/evolution-source-registry
ifce-mp+    2112    1191  0 11:12 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
ifce-mp+    2125    1191  0 11:12 ?        00:00:00 /usr/libexec/evolution-calendar-factory
ifce-mp+    2127    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-a11y-settings
ifce-mp+    2128    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-color
ifce-mp+    2129    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-datetime
ifce-mp+    2131    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-housekeeping
ifce-mp+    2133    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-keyboard
ifce-mp+    2134    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-media-keys
ifce-mp+    2136    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-power
ifce-mp+    2138    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-print-notifications
ifce-mp+    2139    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-rfkill
ifce-mp+    2140    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
ifce-mp+    2141    1191  0 11:12 ?        00:00:03 /usr/libexec/gsd-sharing
ifce-mp+    2142    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-smartcard
ifce-mp+    2143    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-sound
ifce-mp+    2144    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-usb-protection
ifce-mp+    2145    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-wacom
ifce-mp+    2146    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-wwan
ifce-mp+    2147    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-xsettings
ifce-mp+    2148    2054  0 11:12 ?        00:00:00 /usr/libexec/ibus-engine-simple
ifce-mp+    2151    1681  0 11:12 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
ifce-mp+    2154    1681  0 11:12 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
ifce-mp+    2242    1191  0 11:12 ?        00:00:00 /usr/libexec/gsd-printer
ifce-mp+    2253    1291  0 11:12 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
ifce-mp+    2265    1191  0 11:12 ?        00:00:07 /snap/snap-store/558/usr/bin/snap-store --gapplication-service
ifce-mp+    2281    1191  0 11:12 ?        00:00:00 /usr/libexec/xdg-document-portal
ifce-mp+    2320    1191  0 11:12 ?        00:00:00 /usr/libexec/dconf-service
ifce-mp+    2339    1191  0 11:12 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
ifce-mp+    2421    1191  0 11:12 ?        00:00:00 /usr/libexec/xdg-desktop-portal
ifce-mp+    2425    1191  0 11:12 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
root        2438       1  0 11:12 ?        00:00:01 /usr/libexec/fwupd/fwupd
ifce-mp+    3673    1191  0 11:13 ?        00:00:00 /usr/libexec/gvfsd-metadata
ifce-mp+    3678    1681  0 11:13 ?        00:00:00 update-notifier
root        4077       2  0 11:39 ?        00:00:09 [kworker/5:1-mm_percpu_wq]
root        4152       2  0 11:41 ?        00:00:00 [kworker/1:1-events]
root        4206       2  0 11:52 ?        00:00:00 [kworker/2:0-rcu_gp]
root        4247       2  0 11:55 ?        00:00:00 [kworker/u12:0-events_unbound]
root        4283       2  0 12:00 ?        00:00:00 [kworker/u12:2-ext4-rsv-conversion]
lp          4299     930  0 12:01 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root        4303       2  0 12:01 ?        00:00:00 [kworker/4:0-rcu_gp]
root        4343       2  0 12:04 ?        00:00:00 [kworker/u13:2-rb_allocator]
root        4462       2  0 12:07 ?        00:00:00 [kworker/3:2-rcu_gp]
root        4471       2  0 12:07 ?        00:00:00 [kworker/0:1-cgroup_destroy]
root        4488       2  0 12:09 ?        00:00:00 [kworker/2:1-events]
root        4536       2  0 12:12 ?        00:00:00 [kworker/1:0-rcu_gp]
root        4539       2  0 12:12 ?        00:00:00 [kworker/4:2-events]
root        4569       2  0 12:14 ?        00:00:00 [kworker/3:1-events]
root        4599       2  0 12:15 ?        00:00:00 [kworker/5:2-rcu_gp]
root        4677       2  0 12:18 ?        00:00:00 [kworker/0:2-events]
root        4682       2  0 12:18 ?        00:00:00 [kworker/u12:1-ext4-rsv-conversion]
root        4688       2  0 12:19 ?        00:00:00 [kworker/u12:3-events_unbound]
root        4709       2  0 12:21 ?        00:00:00 [kworker/5:0-rcu_gp]
root        4710       2  0 12:21 ?        00:00:00 [kworker/4:1-mm_percpu_wq]
root        4715       2  0 12:21 ?        00:00:00 [kworker/1:2-rcu_gp]
root        4734       2  0 12:22 ?        00:00:00 [kworker/1:3-events]
root        4738       2  0 12:22 ?        00:00:00 [kworker/u13:1]
ifce-mp+    4747    1191  0 12:22 ?        00:00:00 /usr/libexec/gnome-terminal-server
ifce-mp+    4755    4747  0 12:22 pts/0    00:00:00 bash
root        4780       2  0 12:24 ?        00:00:00 [kworker/2:2-events]
ifce-mp+    4798    4755  0 12:25 pts/0    00:00:00 ps -ef
